Committee,Agenda,Room Day1,Room Day2,Room Day3
AIPPM,"Selective application of state control over religious institutions in India: constitutional validity, revenue accountability, and religious autonomy.",201,201,201
IP,"International Press — reporting, photography and journalism across all committees.",202,202,202
IPL,"Strategic team building, youth talent investment, player auction and market analysis.",203,203,203
The Fame Files,"Fair recognition and equity in award shows and the music industry, with emphasis on the 2009 MTV Video Music Awards.",204,204,204
UNCSW,"Ensuring equal economic participation of women through inclusive employment, financial access, and reduction of structural barriers.",205,205,205
UNGA,"Exploitation of fragile states by Non-State Armed Groups in grey-zone conflicts — the Sahel, Middle East, and Indo-Pacific.",206,206,206
UNHRC,"Combating modern slavery in all its forms, with emphasis on human trafficking, forced labour, and forced marriages.",207,207,207
UNSC,"Attacks on commercial shipping in the Red Sea: mandate for maritime protection, rules of engagement, and accountability for Non-State Armed Groups.",208,208,208
WHO Beginners,Ensuring equitable access to essential vaccines in low- and middle-income countries. (Grades 6–8),209,209,209
